repo,phase,node,degree,strength,betweenness
scikit-learn,pre,kiote,1,2,0.0
scikit-learn,pre,TomDLT,15,50,0.1604514603828262
scikit-learn,pre,jjerphan,1,2,0.0
scikit-learn,pre,GaelVaroquaux,26,110,0.2982917715244414
scikit-learn,pre,wconnell,1,2,0.0
scikit-learn,pre,reshamas,11,39,0.15122397620681766
scikit-learn,pre,XavierSATTLER,1,2,0.0
scikit-learn,pre,agramfort,28,124,0.256463051933196
scikit-learn,pre,lucyleeow,1,2,0.0
scikit-learn,pre,okz12,1,2,0.0
scikit-learn,pre,TomAugspurger,1,4,0.0
scikit-learn,pre,jorisvandenbossche,14,50,0.1819949668268131
scikit-learn,pre,janvanrijn,1,4,0.0
scikit-learn,pre,whiletruelearn,1,3,0.0
scikit-learn,pre,eamanu,9,20,0.1658659345687486
scikit-learn,pre,yukuairoy,1,2,0.0
scikit-learn,pre,pcerda,1,2,0.0
scikit-learn,pre,btel,2,7,0.0
scikit-learn,pre,tashay,2,8,0.0
scikit-learn,pre,sergulaydore,6,22,0.08331426828338291
scikit-learn,pre,abenbihi,3,6,0.00022878059940517045
scikit-learn,pre,kno10,4,12,0.03305879661404714
scikit-learn,pre,banilo,3,7,0.012697323266986965
scikit-learn,pre,tomMoral,1,2,0.0
scikit-learn,pre,stsouko,1,2,0.0
scikit-learn,pre,ngoix,4,15,0.058567833447723636
scikit-learn,pre,albertcthomas,8,36,0.0495309997712194
scikit-learn,pre,CatChenal,1,2,0.0
scikit-learn,pre,datajanko,1,2,0.0
scikit-learn,pre,venkyyuvy,2,5,0.0
scikit-learn,pre,glemaitre,19,49,0.36612521924807445
scikit-learn,pre,nilichen,2,6,0.0
scikit-learn,pre,Malesche,6,15,0.07984442919240449
scikit-learn,pre,andreamalhera,2,4,0.010180736673530085
scikit-learn,pre,pierreablin,1,2,0.0
scikit-learn,pre,joshuakennethjones,1,2,0.0
scikit-learn,pre,partmor,1,2,0.0
scikit-learn,pre,espg,1,5,0.0
scikit-learn,pre,rth,3,9,0.0
scikit-learn,pre,thomasjpfan,4,10,0.015938381758560206
scikit-learn,pre,choldgraf,2,5,0.02036147334706017
scikit-learn,pre,betatim,1,3,0.0
scikit-learn,pre,thibsej,2,4,0.004918782887211165
scikit-learn,pre,massich,4,18,0.005147563486616335
scikit-learn,pre,albertvillanova,1,2,0.0
scikit-learn,pre,paoloturati,1,2,0.0
scikit-learn,pre,orenmn,1,2,0.0
scikit-learn,pre,ingrid88,1,2,0.0
scikit-learn,pre,rushabh-v,2,4,0.0
scikit-learn,pre,jnothman,3,6,0.015900251658659346
scikit-learn,pre,amueller,3,6,0.015442690459849006
scikit-learn,pre,maxcopeland,2,4,0.0
scikit-learn,pre,baluyotraf,2,4,0.0
scikit-learn,pre,rmenuet,1,2,0.0
scikit-learn,pre,LakshKD,1,2,0.0
scikit-learn,pre,chkoar,4,10,0.0544116525585297
scikit-learn,pre,sky88088,1,2,0.0
scikit-learn,pre,lobpcg,3,8,0.04049416609471517
scikit-learn,pre,marenwestermann,1,2,0.0
scikit-learn,pre,jnhansen,1,2,0.0
scikit-learn,pre,mghah,1,2,0.0
scikit-learn,pre,cgsavard,1,3,0.0
scikit-learn,pre,PimwipaV,1,2,0.0
